protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,F_distribution,Pvalue,Result
sll0034,490829.656195,710986.880752,604152.140261,837591.450027,712762.218912,759187.233947,821438.17299,1010071.0776600001,688625.177385,876500.891854,599970.494474,859344.7851790001,559630.3967640001,696639.169388,657820.992016,587190.5897680001,359427.815383,293022.707042,553144.581884,188903.718047,7.897397389886745,0.0012382251532609048,yes
sll0036,153805.703188,190354.035773,323754.14306599996,117061.29328299999,112216.436355,201412.426194,163683.266703,173259.681308,371297.82222,356023.482852,338822.538046,427927.574904,269946.89874000003,374523.58334099996,339312.007951,316754.023513,351905.64557199995,299987.135408,434136.86383100005,315511.37046199996,11.057916663255314,0.00022188009923928894,yes
sll0037,305528.346242,141589.371287,189261.055721,154449.416022,137016.83219400002,150138.877034,179075.198335,485437.223457,314509.226223,223717.290877,374068.497209,196421.810171,1159245.97764,257294.794828,268991.261281,214355.253999,228291.792275,174126.87507100002,159848.035563,223244.461308,1.0715421811632113,0.4048842153992754,no
sll0038,828257.9766020001,1978179.363482,1064274.602895,1001070.0926950001,1225508.0651709998,738481.3190949999,812807.8460029999,712562.552733,1667268.483558,3129100.84215,1291121.938267,3788601.35373,1102943.87564,2821137.33828,2227870.5072810003,2047675.032595,4131440.12685,2914719.21839,4830053.55506,3921198.17145,10.212314412422355,0.0003388498965913221,yes
sll0039,6255296.52440821,6354019.3574751,4969147.38870177,4912318.8141494,5053171.59301979,5041271.0976248,4974642.26460209,4156291.28922048,4069225.72452214,2686409.99656633,4137597.06172491,2183221.07057057,4467819.75142953,2380090.78642937,3619177.75582556,3175788.21448767,1519506.3969393,1583620.2645466998,1009971.62946894,1277327.80332688,20.544562984586648,6.022134269642088e-06,yes
sll0041,2047910.1635790002,721810.400059,432062.697648,597330.4223,742155.548062,429841.49812799995,1805495.954591,527567.655834,322896.37697529997,667905.100925,658140.671638,519352.965462,212231.31225699998,192773.04971989998,407372.43494159996,187211.6030954,231951.3787086,474637.385022,1218600.241359,257062.696948,1.3412929348898375,0.30035633135989287,no
sll0042,2314589.737247,2593525.632427,1998936.4802036,4599089.179206,1114487.662986,1741472.7553029999,2066517.3928619998,752715.617921,1795337.6079209999,1074200.7920020001,2769903.0641099997,1306593.871235,1213776.4010450002,1097489.437007,1177712.119251,1290391.392468,894330.1950190001,833036.2639029999,470989.76892420003,324824.79231309996,5.8439288399994735,0.004852838103682801,yes
sll0043,42454.541466300005,300278.40499099996,324705.852475,305544.797541,563613.101142,267907.617041,406340.94126,376390.119894,334319.454565,511233.86292700004,295041.14413000003,400607.217795,295139.288414,440889.28799700004,390746.392429,387081.222694,547307.864238,675570.603737,473113.35016800003,426775.718116,3.629831121710329,0.029238880816272978,yes
sll0044,151080.213261,229219.19280500003,245546.47896900002,175594.711456,68820.743338,187205.132029,103737.429789,374899.609896,170376.091262,158171.20332,186596.891858,106106.648908,171338.224198,92055.3598193,102213.267641,108702.339753,47774.6872828,46404.2108617,39482.7016122,17470.0648743,3.5681474178476624,0.030925360331981545,yes
sll0048,1296838.38472,989935.8139020001,645101.2931189999,729755.79907,655337.3451319999,461383.91234,521121.19166400004,768497.732989,579487.43026,413397.00948899996,502511.68228400004,633911.214238,447679.977708,592265.992217,531523.633443,534288.322807,832842.503987,540195.273643,666532.48329,621001.309408,3.835520602388389,0.02431566150656834,yes
sll0051,21957646.699725,21315198.175009,23282178.858371,26925094.902353,14515693.356939001,17068479.335048,14992608.235270001,680788.427512,1326316.405066,2079455.1314830002,14293141.023001999,11851865.080959,11161761.519313,9016931.550503999,11388224.291667,8196228.468661,5231782.383337,6996356.187748,6230952.876273001,6542495.766915,8.53872724490624,0.0008455054705501347,yes
