"","protein","X60_1","X60_2","X60_3","X60_4","X100_1","X100_2","X100_3","X100_4","X200_1","X200_2","X200_3","X200_4","X300_1","X300_2","X300_3","X300_4","X1000_1","X1000_2","X1000_3","X1000_4"
"1077","slr1476",1414348.338018,1670185.724017,1285458.886464,1466014.216491,1383214.461081,1200481.530511,1207598.778297,1046675.972631,2989553.96662,1644098.375673,2098863.513655,2025574.013069,961810.152647,1797189.898966,1434737.436606,1213794.510155,1531919.732261,1055785.485106,1503750.846871,1620912.709187
"1078","slr1493",324651.279967,310068.22849,343894.111838,719577.461006,337119.175868,268862.772832,273185.259543,2257098.26925,642542.265055,314966.888258,566379.292167,374927.520776,381439.104129,275142.355576,1343573.6517,1012234.38969,198651.968141,335428.52936,327428.017603,288758.786835
"1079","slr1495",65966.9702362,543216.544584,341363.062562,134288.945074,138361.782512,122586.535664,81269.6045602,284542.813978,192441.394729,258328.55406,120686.845444,284703.053948,128144.108111,307669.799673,177719.143947,206689.352175,389675.861501,222356.233178,392951.130944,400507.045818
"1080","slr1501",3201408.3855,2867860.34137,2168644.54354,3383031.10958,669229.426271,2416517.72678,3056540.6286,4645405.95956,2405050.30276,1377659.81769,1191098.07915,1279297.05799,3610636.78197,2528470.79088,4310851.58201,4470711.3501,3924438.26385,9570361.51172,8720620.09871,10505481.5627
"1081","slr1503",590205.528234,424025.4361556,560009.417631,573197.116377,494302.712695,520198.135914,397265.136619,374308.854929,776104.79777,745158.084676,683245.182368,928913.37124,491514.584154,791898.760792,654300.29157,599794.84669,620264.322988,768152.634114,759380.932661,500787.47409
"1082","slr1505",487430.06316,999423.495333,641162.363682,667353.522447,952274.249769,913432.884433,678770.526674,992053.026535,809054.56275,1133150.393308,1504688.809746,614332.250354,1468891.480183,1540261.147555,1522574.346026,1519503.862824,1433519.647895,2388965.399051,2128729.015025,2444054.285015
"1083","slr1506",10277321.7030705,10818561.0301246,11472767.7007148,11046070.1839837,8432583.20307623,10372070.5921367,10180375.8366261,11586528.4365464,3713119.25560151,1746984.4815291,7836759.75533624,1554953.10472985,7134371.91813509,3220699.48403696,3750201.21871701,4533882.34033738,1907171.22904465,4143354.22692682,2763222.3426803,2414379.76334418
"1084","slr1507",825687.136936,1006373.20047,1082805.501187,1069028.812583,1759314.35357,972140.752377,1633068.394368,779145.67267,939557.926381,771367.296834,1604298.656944,270212.510119,1284651.69292,1060723.876611,1136383.958192,1158177.977383,890387.890501,893327.742642,1260749.934968,621190.547453
"1085","slr1508",174134.961578,94357.5170754,91073.3432201,115082.295795,160071.273388,117148.490193,160920.223088,102160.363456,175292.034552,192203.533377,153892.398292,263285.575716,154514.998089,243123.311116,186467.47856,179255.708656,333955.536874,232579.679068,188631.230038,371427.331573
"1086","slr1510",1909170.626004,2823457.9424,2293625.29137,2445658.97795,2396833.75153,2039506.055276,1759964.55181,1783290.336032,2500513.866688,2479220.04903,2114789.799992,2470747.802075,2055325.988452,2567140.406901,2480661.911458,2332011.077911,2098265.17088,2282110.338333,2260469.168602,1861602.515068
