,protein,X60,X100,X200,X300,X1000,Localization
539,sll0166,213071.,165114.,302483.,266884.,396281.,Cytoplasmic
540,slr1859,2119796,2008851,1902011,1620673,9995768,Unknown
541,slr1503,566603.,445783.,760631.,627047.,689822.,Cytoplasmic
542,slr1835,662608.,597215.,2886218,2142135,3729931,CytoplasmicMembrane
543,sll1051,802914.,877526.,945783.,901170.,2752275,Unknown
544,slr1881,1589979,1532466,1619968,2505673,3186063,CytoplasmicMembrane
545,slr1030,6143669,5847589,3940394,2169296,978771.,Cytoplasmic
546,sll1471,3521268,2442418,3369542,3045916,9001580,CytoplasmicMembrane
547,sll1249,794861.,782237.,1772669,1648523,1937122,Cytoplasmic
548,slr0709,651188.,344113.,1164037,1478943,1402347,Cytoplasmic
549,sll1682,835216.,552404.,745694.,674501.,599530.,Cytoplasmic
550,sll1812,6792197,1737308,2399979,1384492,533211.,Cytoplasmic
551,slr6056,135559.,368118.,114310.,93106.1,122110.,Unknown
552,slr1269,708821.,651950.,631421.,566698.,1089300,Periplasmic
553,slr0201,1216071,695176.,840162.,744408.,1170123,Cytoplasmic
554,slr0543,746003.,1227457,1130758,865078.,553949.,Cytoplasmic
555,slr1289,1025484,1166676,3353949,3118883,4797571,Cytoplasmic
556,sll1123,1827778,1330218,1749141,1625772,1278778,Unknown
557,slr1239,801823.,718486.,1165319,997899.,1191391,CytoplasmicMembrane
558,ssr3383,4601975,5006459,1485302,1563121,5969475,Unknown
559,sll8049,604256.,437378.,299732.,399152.,356871.,Cytoplasmic
560,sll0042,2454057,1427980,1550965,1195744,652013.,CytoplasmicMembrane
561,slr0075,1759291,1890625,2657391,3559092,3222270,Cytoplasmic
562,slr1219,997211.,972932.,1257095,1527538,1918178,Cytoplasmic
563,sll1641,6109167,4133423,3873038,3283432,2945534,Cytoplasmic
564,slr2049,2546944,1847252,3181156,3053751,3128321,Unknown
565,slr5051,1249115,707350.,1379856,1271262,994070.,Unknown
566,sll1481,181606.,141029.,274915.,274165.,574251.,Cytoplasmic
567,sll1956,165866.,174744.,513523.,329179.,543979.,Cytoplasmic
568,sll1580,9302235,8670213,9353428,7524699,5521487,Unknown
569,sll0680,855379.,1041475,2963303,2933981,1836994,Periplasmic
570,slr5073,920387.,662330.,472665.,1714526,2950580,Cytoplasmic
571,ssl3445,92127.2,186336.,260662.,285199.,413828.,Cytoplasmic
572,sll1818,2278786,2081466,1108565,1314426,6404545,Cytoplasmic
573,sll1669,331892.,678544.,1027035,1481214,1584102,Cytoplasmic
574,sll0572,226290.,117044.,111279.,104331.,112229.,Cytoplasmic
575,sll1135,1302171,906359.,659182.,549513.,158922.,Unknown
576,sll0227,4257809,3129378,2980802,3182574,4419603,Periplasmic
577,sll1667,2868192,2269728,4460660,3388070,2223870,Unknown
578,sll0148,771100.,222125.,272960.,231924.,131616.,CytoplasmicMembrane
579,sll1214,1235599,1025120,1857288,1461035,1904399,Cytoplasmic
580,slr1753,680674.,657576.,1468940,1197672,1080288,Unknown
581,slr0971,342084.,296661.,312883.,380229.,506581.,CytoplasmicMembrane
