,protein,X60,X100,X200,X300,X1000
794,ssl2501,310353.,316072.,343336.,689446.,506242.
795,slr0884,4694071,5773657,4263575,5414565,7764933
796,sll1811,584290.,513792.,511557.,764418.,1033529
797,sll1769,1757295,1712977,2767255,3273273,4086614
798,slr1964,1350166,1625896,1307983,915516.,614262.
799,sll0236,669897.,513793.,567359.,406974.,338711.
800,sll0156,229701.,142160.,193206.,172251.,367504.
801,slr1665,3887413,2054592,1271236,1296982,2653379
802,sll0756,335570.,543489.,254641.,265016.,592818.
803,sll1566,2905266,1974450,3963612,2728791,1316631
804,sll1265,450750.,614135.,614075.,686565.,1037947
805,slr1305,671275.,450023.,617897.,549321.,310664.
806,slr0780,1138418,925596.,787256.,885315.,1198317
807,slr1573,1656993,1475048,1278888,879082.,1307506
808,sll0300,100939.,86454.5,149474.,110401.,206068.
809,sll1680,1075562,1043246,1868601,1985221,1368892
810,sll0443,662801.,428689.,931857.,879466.,680600.
811,sll0016,818919.,1054204,2107066,2060267,2650989
812,slr1940,176338.,655062.,158405.,199125.,258388.
813,slr1783,5329633,4680552,5803940,5057780,3450926
814,slr0440,322201.,219405.,448199.,394533.,501036.
815,slr1338,546720.,237055.,388201.,322204.,217436.
816,sll1454,328542.,434127.,572655.,466899.,764322.
817,slr0605,1060080,964648.,948786.,1280845,1269172
818,ssr0335,1108627,1042616,824325.,840839.,703070.
819,sll5059,239830.,252537.,151824.,84564.2,150482.
820,slr6049,1516247,1271237,721466.,679557.,2908159
821,slr1064,1248144,482918.,1264735,1013305,756222.
822,slr0906,5890201,7791785,1367346,1061767,1220540
823,slr1540,1605895,591743.,472307.,358573.,326628.
824,slr0434,1359177,2520207,1385331,979040.,697414.
825,slr0823,3419359,3695157,4617455,4277532,2678849
826,sll0071,460008.,438664.,531737.,376972.,395419.
827,slr1129,3085773,4158275,4260943,4149753,6461535
828,slr0657,1341286,1223419,1871798,2243731,4465913
829,slr0038,1770536,1820477,2023795,1368946,2622489
830,slr2088,252714.,969085.,173354.,220091.,191326.
831,slr0923,3383683,4826743,4453341,4566284,707421.
832,ssl0294,1247459,1718517,786599.,676913.,1081425
833,sll1298,3827392,3745808,2791888,2786810,2754481
834,sll1004,113881.,138101.,212473.,231779.,280235.
835,sll0576,1488399,8227016,2023416,2172536,2692743
836,sll0373,906008.,448968.,984209.,761551.,534211.
837,slr1841,2585922,4023646,4229887,4318321,1912626
838,sll1242,944958.,649034.,1266423,1408151,1055165
839,slr1431,621031.,697209.,924935.,783431.,361406.
840,sll2010,443901.,575122.,283743.,198695.,581968.
841,ssl0564,974913.,693748.,671853.,468323.,215081.
842,slr2073,4046549,1966030,1265127,2556472,2285406
843,slr0618,144719.,221993.,382908.,363024.,272717.
844,slr1829,383097.,319611.,181115.,129230.,196543.
845,sll1314,6571669,4266359,9501466,9196023,4224692
846,slr1704,900047.,1327435,1082796,829666.,1141293
847,sll1035,1037387,6582327,1245063,1109182,3136562
848,ssr1766,974540.,682223.,503791.,588954.,651202.
849,sll1029,1060350,2286852,2972564,2231386,3526165
850,sll0534,2520538,1773249,2297399,2035815,3782991
851,sll1758,2576030,1773033,2009612,1781705,2195613
852,sll0819,8546307,8731289,4501486,1277828,1112244
853,sll1107,203355.,336721.,216364.,130102.,129521.
854,slr0951,1164385,851625.,943029.,835163.,469602.
855,slr7011,175341.,70257.4,97312.3,103370.,112384.
856,sll0495,551714.,472432.,1013920,547640.,943703.
857,sll1272,970817.,943783.,758488.,620890.,2923349
858,slr1942,8532707,8493871,8126000,5291152,5708625
859,ssl5095,317366.,530043.,512479.,732300.,545562.
860,sll0553,1484701,1185908,1172976,806066.,1398153
861,sll0844,1806110,540353.,444441.,539163.,486854.
862,slr0082,2036858,1292503,1990800,1778809,2582613
863,sll1049,677139.,722978.,1654901,1194370,1761765
864,slr1160,9957855,9222661,1087263,1832430,8028048
865,slr1838,2152445,2290631,1621652,1116925,653792.
866,sll0519,944460.,1170184,1798837,1560443,1945157
867,slr2130,3540613,2879312,3493591,3150815,4161730
868,sll0173,620513.,1651978,555564.,504852.,339192.
869,slr1865,114677.,181957.,142589.,214893.,249255.
870,sll1394,3837932,4751022,6671482,6659074,7220836
871,slr2059,453492.,487728.,452236.,434358.,600832.
872,sll0998,3802631,3400227,3837975,3615759,4238754
873,sll0007,1988877,1668388,2861231,3127543,3945977
874,sll0064,7921804,6113838,4284198,2807359,739036.
875,slr0065,76526.6,206120.,153283.,71912.4,274386.
876,slr1619,2071599,1463874,8701658,8915723,5891703
877,slr1347,3895387,3376694,3261691,3141918,3992651
878,sll1640,508788.,402286.,415361.,330382.,274118.
879,slr0163,1536169,1243948,1303748,1295575,1771189
880,sll0920,2599446,2404682,4109684,3442501,3395488
881,slr0447,661513.,616391.,818149.,773315.,823645.
882,slr1742,731435.,584741.,1007211,785781.,900085.
883,slr0692,959012.,1045670,699849.,504516.,352947.
884,sll6093,5865517,6738272,6386647,7481568,8294681
885,sll1450,504504.,545058.,692215.,509000.,1242600
886,slr0658,1519040,621122.,1669834,1501100,1657254
887,slr1407,703505.,905748.,1140693,1393678,1572080
888,sll0750,927102.,785479.,550742.,433143.,487004.
889,ssl0707,3102834,4529463,2784202,3094589,4153161
890,sll1110,1245492,1010886,1306138,1356219,1713201
891,slr0757,287193.,621670.,124317.,128020.,143009.
892,slr1053,2307614,1245249,2188942,2604044,4985421
893,slr0604,157626.,101287.,217418.,217564.,722278.
894,ssl2807,1256787,1794371,2134054,2213031,2994359
895,slr1815,1571268,1479706,1465921,1608025,2305590
896,slr0526,225996.,309507.,503969.,605082.,739866.
897,slr1674,1430927,1498774,1401812,2220938,1544523
898,slr1761,3882981,2774664,3735849,4012999,6155502
899,sll1224,916550.,677439.,704311.,655713.,488985.
900,sll6060,431391.,313410.,348597.,270537.,273985.
901,ssr0332,465229.,2149041,2964917,2784041,3576727
902,sll0822,1889442,8487172,2945139,3683027,3946296
903,slr1821,116781.,81655.4,350204.,213552.,513676.
904,slr5126,876929.,797732.,804371.,740228.,430958.
905,slr1204,180375.,444619.,261244.,126432.,266175.
906,sll1908,3848048,4746868,1645174,1545993,1772414
907,sll0301,835300.,370344.,1004414,852488.,669724.
908,sll0066,284950.,309987.,407219.,367893.,468416.
909,slr1260,1660156,1350761,1937139,2135260,2740810
910,slr1356,5879484,4985787,8096398,6499686,4532466
911,sll1395,340878.,186078.,439913.,454099.,615840.
